tweet,label
neither viral post coronavirus covid NUM unicef accurate,fake
marathi newspaper report conspiracy theory coronavirus bioweapon,fake
president trump propose construct bigly retractable dome usa donald trump joseph biden coronavirus,fake
model estimate ohio high positive test rate near full icu capacity ohio elevate risk base reopen safely metric learn,real
despite ease lockdown start NUM th may critical manage public space adhere measure prevent co vid spread lotion bottle provision handwash facility sanitisers bust silhouette gather gt NUM people thermometer mandatory temperature check share widely,real
french state give benefit people unemployed covid NUM people partially unemployed due coronavirus,fake
say wearing mask proven ineffective �,fake
people assess present low risk due nature exemption adherence require protocol negative test result people associate bubble,real
“ obama administration make decision testing turn detrimental ” coronavirus,fake
mitch mcconnell say senate vote coronavirus stimulus plan soon week,fake
video show chinese official detain suspected coronavirus case,fake
debunk misinformation coronavirus hoax travel fast number cause grow outbreak need clarification,fake
dr v k srinivas vice president bharat biotech take corona vaccine clinical trial take first dose say first person india take vaccine develop team bharat biotech look confidence product,fake
ellie goulding say ’ understand coronavirus mean f NUM stop “ ’ driver keep helmet whole time ” say,fake
president giammattei say country NUM covid NUM test,fake
human coronavirus infection peak december march betacoronaviruses seem peak january relate elsevier paywalling coronavirus article smirk face,fake
coronavirus lead layoff strip worker employer sponsor health insurance top republicans actually encourage people sign plan available marketplace set obamacare,fake
since august NUM contact trace team identify NUM close contact case NUM contact self isolating complete self isolation process contact rest,real
maharashtra india cm uddhav thackeray announce reimplementation lockdown,fake
doctor li wenliang hospital china suggest drink tea coronavirus patient,fake
biden say lockdown must continue voter run freedom vice president joe biden job seeker open america,fake
currently NUM people manage isolation quarantine current effective capacity NUM give u excess capacity NUM next week project NUM arrival NUM departures facility,real
president trump reveals amaze reason want buy argentina donald trump argentina coronavirus,fake
wear cloth face cover correctly help prevent spread co vid others go essential trip follow “ ’ ” child remember age NUM wear face cover see,real
western country italy spain france uk treat elderly patient NUM,fake
yesterday laboratory complete NUM test bring total number test complete date NUM roll seven day average NUM,real
say italy arrest doctor intentionally kill NUM coronavirus patient �,fake
one reason supply constraint hard pin definitely real factor also many lab take week return test quantitative view likely considerably lag underlie reality,real
mean new zealand ’ combine total confirm probable case NUM NUM confirm case covid NUM ⁣⁣ ⁣⁣ NUM people report recovered covid NUM increase five yesterday NUM case ⁣⁣,real
video orangutan wash hand view million time facebook twitter youtube post claim animal imitate zookeepers novel coronavirus pandemic,fake
text lithuanian excerpt letter claim measure genocide pandemic real,fake
individual co vid infectious uncertain per current evidence period infectivity start NUM day prior onset symptom last NUM day co vid co vid corona coronavirus coronavirus india NUM NUM,real
something steam treatment run nose amp sore throat old saline nasaldrops gargle hot chicken soup neither cure common cold covid something provide temporary relief symptom u r suffer sore throat cold,fake
work luque cemetery near paraguayan capital asunción related people die covid NUM,fake
news government pledge continue look like ’ defeat coronavirus,fake
co vid coronavirus india coronavirus update america support muslim thrash indian godi medium backhand index pointing,fake
late update NUM new confirm case covid NUM new zealand two woman family one NUM NUM recently arrive uk via australia today confirm covid NUM,real
chinese scientist say covid NUM coronavirus could originate government laboratory predict fiction novel NUM mystery coronavirus coronavirus,fake
however lead drop positive case time series data state lag report source,real
NUM study find chloroquine effective primate cell severe acute respiratory syndrome two share similarity sars cov covid NUM different disease primate cell far human patient,fake
underlying condition like diabetes mean great risk get transmit covid NUM within home find cdc study learn,real
notice california major adjustment switch back state data frequently update source one time adjustment discussion context california,real
combine total confirm probable covid NUM case NUM ⁣ ⁣ NUM people report recovered covid NUM ⁣ today two people hospital covid NUM – one middlemore north shore hospital neither icu ⁣,real
NUM day average new case drop NUM k first time since july NUM,real
add detroit back equation reveals NUM michigan ’ covid NUM death among black people happen wayne county current reporting system obscure true impact covid NUM within county state ’ black population,real
mother counsel many many benefit breastfeed newborn baby child substantially outweigh potential risk co vid infection,real
california report NUM k backlogged case state commit assign case correct date adjust value soon state make correct date figure available shift many positive case report today earlier date,real
new coronavirus ph varies NUM NUM defeat need consume alkaline food,fake
new vaccine cure coronavirus develop u scientist,fake
facebook post compare death italy coronavirus pandemie death seasonal flu outburst NUM NUM post say NUM seasonal flu outburst NUM NUM people die italy real problem coronavirus death compare serious,fake
mycoplasma pneumonia treat quinolones first quinolone discover chloroquine mycoplasma pneumonia rare important cause transverse myelitis co vid,fake
illinois show sharp increase covid NUM death today state NUM confirm case NUM cumulative death,real
freely filter podcast host discuss knowns unknown covid NUM ’ impact kidney,real
unless become aggressive fight casteism corona doom,fake
