,tweet,label
0,india home ministry give permission reopen school educational institution across india,fake
1,part presidential task force covid NUM ncdc dg provide update co vid nigeria press briefing convene daily NUM april NUM total NUM confirm case NUM death co vid record nigeria,real
2,coronavirus update india fight corona NUM test conduct last NUM hour cumulative test increase NUM co vid test per million see sharp increase NUM today,real
3,icymi fda approve test look viral protein antigens different rna virus pcr test look,real
4,NUM person auckland hospital person stable require intensive care total number confirm case NUM – number report world health organization,real
5,today host one day train health security assessment tool evaluation health security capacity kebbi kano amp enugu state define ncdc strategic support improve capacity prevent detect amp respond disease outbreak state,real
6,stanford hospital board new coronavirus may show sign infection many day one know infect,fake
7,monday number normally show weekend lag today different state report NUM k new case last monday NUM day average basically stay,real
8,get broad dynamic fall case rise death weekly update earlier today,real
9,NUM face mask enough reuse every NUM day since incubation period NUM day,fake
10,acc unlock guideline wear face mask compulsory public place workplace transport dma NUM person violate measure liable legal action per rule amp regulation specify state ut,real
11,joe exotic test positive coronavirus prison,fake
12,katy perry secretly relieve wed orlando bloom postpone due coronavirus,fake
13,un secretary general antónio guterres tell sky news coronavirus put eradication poverty question take aspect progress NUM year back get late coronavirus news,real
14,georgia also issue stay home order april NUM th,real
15,india fight corona india scale new peak NUM cr total co vid test test per million continuous rise peg NUM today,real
16,india fight corona NUM new recover case report ten state uts viz maharashtra karnataka andhra pradesh uttar pradesh tamil nadu odisha delhi kerala west bengal punjab detail stay safe india win,real
17,godd tweet donald trump politics presidential election pandemic,fake
18,new coronavirus create china laboratory kill NUM population,fake
19,video allegedly show man spit bread slice share communal spin india,fake
20,april NUM NUM u state amp NUM u territory report community spread covid NUM NUM report co vid case widespread essential trip wear cloth face cover amp keep NUM ft physical distance amp others,real
21,aaj tak news report chinese prime minister say reading quran offer namaz cure covid NUM,fake
22,claim novel coronavirus never detect major chinese city beijing shanghai share repeatedly facebook twitter instagram,fake
23,world bank document existence covid NUM test kit since NUM,fake
24,india ride wave high test several state ut demonstrate well co vid response high test per million tpm commensurate low positivity rate national average,real
25,NUM july NUM NUM NUM co vid patient recover gujarat gujarat corona update co vid co vid co vid co vid co vid corona update coronavirus india coronavirus update coronavirus co vid update,real
26,tucker carlson claim coronavirus “ pose virtually zero threat ” child teacher risk death covid NUM increase age carlson ’ claim ignores risk illness hospitalization long term health problem,fake
27,new report show many worker test positive covid NUM nebraska meat processing facility report work close one another physical distancing wear mask slow spread co vid workplace,real
28,recent news medium claim tuberculosis vaccine bcg may effective covid NUM,fake
29,cattle vaccine proofs coronavirus exist year already vaccine photo show cattle vaccine produce american medical company scourguard NUM kc,fake
30,video girl die coronavirus shopping mall,fake
31,poll find NUM american say drink corona beer virus,fake
32,NUM new case co vid nigeria lagos NUM kaduna NUM plateau NUM fct NUM delta NUM niger NUM kwara NUM oyo NUM akwa ibom NUM cross river NUM ekiti NUM enugu NUM osun NUM sokoto NUM bauchi NUM ebonyi NUM katsina NUM river NUM NUM confirm NUM discharge NUM death,real
33,coronavirus hospital admission england reach high level since july follow late coronavirus update backhand index pointing,real
34,david icke claim NUM g poison cell bill gate plan control population invisible ink,fake
35,american citizen place nude statue president donald trump new york city fail handle coronavirus situation usa,fake
36,nashville man considers become supremacist sort nashville co vid white supremacy swedish asian,fake
37,american researcher charles lieber arrest sell novel coronavirus chinese,fake
38,NUM million case co vid report almost NUM death although country affect continue see intense transmission relatively small group country,real
39,one new zealand receive hospital level care covid NUM yesterday laboratory complete NUM test bring total number test complete date NUM,real
40,hcps coca call today NUM pm et also available coca ’ facebook profile via facebook live topic “ clinician need know prepare covid NUM u ” learn event,real
41,overheard someone explain covid NUM mean chinese originated viral infectious disease ’ even try explain wrong ask NUM mean say number try ’ man make virus perfect,fake
42,india fight corona shortage oxygen supply country today capacity production oxygen slightly NUM metric tonne oxygen consume co vid well non covid patient country NUM metric tonne day secretary,real
43,covid NUM patient zero sex bat,fake
44,NUM c mortality score accurately predict risk death hospitalize patient co vid complete admission,real
45,kate middleton celebrity spark pregnancy speculation amid coronavirus quarantine,fake
46,lack coronavirus test u national disgrace,fake
47,dr anthony fauci say covid NUM vaccine must deliver people without proper study carry,fake
48,yesterday laboratory complete NUM test bring total number test complete date NUM,real
49,queen elizabeth ii test positive coronavirus,fake
50,many evangelicals believe trump actually test positive coronavirus donald trump coronavirus potus,fake
51,u hit another grim coronavirus milestone ⁦ ⁩ ⁦ ⁩ ⁦ ⁩ ⁦ ⁩ inform viral infection completely controllable n acetylcysteine legal responsibility,fake
52,president trump say file personal lawsuit china cause coronavirus donald trump,fake
53,virgin australia set change name fuck coronavirus,fake
54,covid ’ ’ go png papua new guinea get visible crocodile skin tattoo mom ever know,fake
55,japanese doctor claim drink water every NUM minute prevents covid NUM,fake
56,debunk misinformation coronavirus hoax travel fast number cause grow outbreak need clarification,fake
57,cdc detain anyone fever indefinitely vaccination way people could get detention �,fake
58,late cdc co vid view report show august weekly co vid hospitalization rate decline among adult age group however rate child age NUM NUM constant period increase end august,real
59,slice lemon cup hot water save life hot lemon kill proliferation novel coronavirus,fake
60,coronavirus cause snake,fake
61,people italy throw money street save covid NUM,fake
